Eighth Doctor,2.072289156626506
Seventh Doctor,2.024936957130849
Bruce Gerhardt,3.019052956010087
The Master (The TV Movie),3.019052956010087
Grace Holloway,3.019052956010087
Chang Lee,3.019052956010087
James Salinger,3.019052956010087
Roger Swift,3.019052956010087
Angela Wheeler,3.019052956010087
Shelly Curtis,3.019052956010087
Pete Callahan,3.019052956010087
Gareth Fitzpatrick,3.019052956010087
Miranda Gerhardt,3.019052956010087
Motorcycle policeman,3.019052956010087
Joseph Wagg,3.019052956010087
Ted Kriechel,3.019052956010087
Security guard (The TV Movie),3.019052956010087
The Master (First Frontier),3.019052956010087
Mi-Jung Kanaka,3.019052956010087
Joanna Piros (The TV Movie),3.019052956010087
Fifth Doctor,2.0148500980666855
Third Doctor,1.9576912300364249
Second Doctor,1.9265900812552537
Fourth Doctor,1.9445222751471
First Doctor,1.8929672177080414
Tegan Jovanka,2.2734659568506586
Turlough,2.453348276828243
Sarah Jane Smith,2.124964976183805
Alistair Gordon Lethbridge-Stewart,2.3376295881199214
Susan Foreman,2.4511067525917625
Tremas Master,2.352759876716167
Romana II,2.438498178761558
Lord President,2.4760437097226116
Borusa (The Five Doctors),2.480806948725133
Chancellor,2.4760437097226116
Flavia,2.480806948725133
Jerricho,2.4760437097226116
Cyber-Leader (The Five Doctors),2.480806948725133
Cyber-Lieutenant (The Five Doctors),2.480806948725133
Matrix Rassilon,2.480806948725133
Jamie McCrimmon,2.369851499019333
Zoe Heriot,2.44410198935276
Liz Shaw,2.455589801064724
Mike Yates,2.4376576071728775
K9,2.230596805827963
Charles Crichton,2.480806948725133
Commander (The Five Doctors),2.480806948725133
Technician (The Five Doctors),2.480806948725133
Sergeant (The Five Doctors),2.480806948725133
Guard (The Five Doctors),2.480806948725133
Cyber-Scout,2.480806948725133
Raston Warrior Robot,2.480806948725133
Clara Oswald,1.9997198094704398
The Moment,2.077892967217708
Tom (The Day of the Doctor),2.077892967217708
Kate Stewart,1.9590921826842254
Petronella Osgood,2.074810871392547
Time Lord soldier 1 (The Last Day),2.0773325861585876
Androgar,2.077892967217708
Eleventh General,2.075371252451667
Arcadia father,2.077892967217708
Time Lord (The Day of the Doctor),2.077892967217708
Elizabeth I,2.067245727094424
Bentham,2.077892967217708
McGillop,2.077892967217708
Atkins (The Day of the Doctor),2.077892967217708
Zygon,2.070588235294118
Dalek,1.9039215686274509
The Curator (The Day of the Doctor),2.077892967217708
Sixth Doctor,2.036424768842813
War Doctor,2.0736901092743065
Ninth Doctor,2.0459512468478565
Tenth Doctor,1.941440179321939
Eleventh Doctor,1.963855421686747
Twelfth Doctor,1.938638274026338
Tasha Lem,2.8302045390865787
Dave Oswald,2.828803586438778
Linda (The Time of the Doctor),2.8302045390865787
Clara Oswald's gran,2.824880919024937
Albero,2.8302045390865787
Abramal,2.8302045390865787
Marta (The Time of the Doctor),2.8302045390865787
Barnable,2.8302045390865787
Meme (The Time of the Doctor),2.8302045390865787
Handles,2.8302045390865787
Young man (The Time of the Doctor),2.8302045390865787
The General,2.8302045390865787
Cyberman,2.1518207282913164
Silent,2.817315774726814
Skarr,2.8302045390865787
Weeping Angel,2.7296161389745026
Karen Gillan,2.8302045390865787
Amy Pond,2.72233118520594
Cass Fermazzi,3.058840011207621
Ohila,2.824880919024937
Hedigar,3.0767722050994677
Time Lord soldier 2 (The Last Day),3.0767722050994677
River Song,2.6570467918184364
Great Intelligence,2.897450266181003
Vastra,2.8181563463154946
Jenny Flint,2.8181563463154946
Strax,2.8181563463154946
Angie Maitland,2.896329504062763
Artie Maitland,2.896329504062763
Andro (The Name of the Doctor),2.908097506304287
Fabian (The Name of the Doctor),2.908097506304287
Clarence DeMarco,2.908097506304287
Archie (The Name of the Doctor),2.908097506304287
Messenger boy (The Name of the Doctor),2.908097506304287
Whisper Man,2.908097506304287
Fourteenth Doctor,2.658727934995797
Donna Noble,2.4679181843653684
Rose Noble,2.8346875875595403
Shaun Temple,2.577752871952928
Chan (The Star Beast),3.2149061361725972
Shirley Bingham,2.841972541328103
Sylvia Noble,2.493415522555338
Fudge Merchandani,3.2149061361725972
The Meep,3.2149061361725972
Major,2.7708041468198377
Shervan Singh,3.2149061361725972
Zogroth,3.2149061361725972
Zreeg,3.2149061361725972
Wilfred Mott,2.564023536004483
Isaac Newton,3.3037265340431494
Mrs Merridew,3.3037265340431494
Not-thing,3.3037265340431494
Charles Banerjee,2.8484169235079855
The Toymaker,2.7237321378537405
John Logie Baird,2.8484169235079855
Ibrahim (The Giggle),2.8484169235079855
Melanie Bush,2.596805827963015
Edward Lawn Bridges,2.8484169235079855
The Vlinx,2.841131969739423
Trinity Wells,2.544690389464836
Stooky Sue,2.8484169235079855
Fifteenth Doctor,2.8142336789016533
Ian Chesterton,2.633230596805828
Barbara Wright,2.827963014850098
Za,2.8845615018212385
Hur,2.8845615018212385
Old Mother,2.8845615018212385
Kal,2.8845615018212385
Horg,2.8845615018212385
Temmosus,2.883720930232558
Alydon,2.883720930232558
Dyoni,2.883720930232558
Ganatus (The Daleks),2.883720930232558
Antodus,2.883720930232558
Kristas (The Daleks),2.883720930232558
Elyon,2.883720930232558
Thal,2.883720930232558
Marco Polo,2.8814794059960773
Tegana,2.8814794059960773
Ping-Cho,2.8814794059960773
Kublai Khan,2.8814794059960773
Chenchu,2.8814794059960773
Man at Lop,2.8814794059960773
Mongol bandit,2.8814794059960773
Malik,2.8814794059960773
Acomat,2.8814794059960773
Ling-Tau,2.8814794059960773
Wang-Lo,2.8814794059960773
Kuiju,2.8814794059960773
Empress (Marco Polo),2.8814794059960773
Vizier (Marco Polo),2.8814794059960773
Office foreman,2.8814794059960773
Yeng,2.8814794059960773
Arbitan,2.880638834407397
Voord,2.880638834407397
Altos (The Keys of Marinus),2.880638834407397
Sabetha,2.880638834407397
Morpho (species),2.880638834407397
Warrior (The Keys of Marinus),2.880638834407397
Darrius,2.880638834407397
Vasor,2.880638834407397
Ice Soldier,2.880638834407397
Tarron (The Keys of Marinus),2.880638834407397
Larn,2.880638834407397
Senior judge (The Keys of Marinus),2.880638834407397
First judge,2.880638834407397
Second judge,2.880638834407397
Kala (The Keys of Marinus),2.880638834407397
Aydan,2.880638834407397
Eyesen,2.880638834407397
Guard (The Keys of Marinus),2.880638834407397
Yartek,2.880638834407397
Autloc,2.883720930232558
Tlotoxl,2.883720930232558
Ixta,2.883720930232558
Cameca,2.883720930232558
Sacrifice 1 (The Aztecs),2.883720930232558
Aztec captain (The Aztecs),2.883720930232558
Tonila,2.883720930232558
Perfect Victim,2.883720930232558
John (The Sensorites),2.884001120762118
Carol Richmond,2.884001120762118
Maitland (The Sensorites),2.884001120762118
Commander (The Sensorites),2.884001120762118
First human,2.884001120762118
Second human,2.884001120762118
Sensorite,2.884001120762118
Jean-Pierre (The Reign of Terror),2.8795180722891565
Rouvray,2.8795180722891565
D'Argenson,2.8795180722891565
Sergeant (The Reign of Terror),2.8795180722891565
Lieutenant (The Reign of Terror),2.8795180722891565
Soldier (The Reign of Terror),2.8795180722891565
Judge (The Reign of Terror),2.8795180722891565
Jailer (The Reign of Terror),2.8795180722891565
Webster (The Reign of Terror),2.8795180722891565
Road works overseer,2.8795180722891565
Peasant (The Reign of Terror),2.8795180722891565
Lemaitre,2.8795180722891565
Jean (The Reign of Terror),2.8795180722891565
Jules Renan,2.8795180722891565
Shopkeeper (The Reign of Terror),2.8795180722891565
Danielle,2.8795180722891565
Léon Colbert,2.8795180722891565
Maximilien Robespierre,2.8795180722891565
Physician (The Reign of Terror),2.8795180722891565
Soldier 1 (The Reign of Terror),2.8795180722891565
Paul Barras,2.8795180722891565
Napoléon Bonaparte,2.8795180722891565
Soldier 2 (The Reign of Terror),2.8795180722891565
Forester (Planet of Giants),2.8845615018212385
Arnold Farrow,2.8845615018212385
Smithers,2.8845615018212385
Hilda Rowse,2.8845615018212385
Bert Rowse,2.8845615018212385
Carl Tyler,2.8823199775847574
David Campbell,2.8823199775847574
Dortmun,2.8823199775847574
Roboman,2.8823199775847574
Jenny Chaplin,2.8823199775847574
Jack Craddock,2.8823199775847574
Thomson,2.8823199775847574
Baker (The Dalek Invasion of Earth),2.8823199775847574
Larry Madison,2.8823199775847574
Wells (The Dalek Invasion of Earth),2.8823199775847574
Slyther,2.8823199775847574
Ashton (The Dalek Invasion of Earth),2.8823199775847574
Women in the wood,2.8823199775847574
Vicki Pallister,2.8484169235079855
Bennett (The Rescue),2.8854020734099186
Smith (The Rescue),2.8854020734099186
Sevcheria,2.880919024936957
Didius,2.880919024936957
Centurion (The Romans),2.880919024936957
Stall holder (The Romans),2.880919024936957
Slave buyer,2.880919024936957